Listing of Grid Distortion Data

File : affine_example.txt
Title: Affine Example
Date : 25/06/2021

Units are Millimeters.
Field units are degrees
Wavelength: 1.00000 um
Reference Coordinates: Xref = 0.0, Yref = 0.0


   i	   j	   X-Field  	   Y-Field  	   R-Field  	  Predicted X	  Predicted Y	   Real X	        Real Y	        Distortion
  -6	  -6	  1.66667E-01	  1.66667E-01	  2.35702E-01	  1.66667E+00	  1.66667E+00	  1.74198E+00	  2.82735E+00	   --35.02433%
  -6	  -5	  1.66667E-01	  3.33333E-01	  3.72678E-01	  1.66667E+00	  3.33333E+00	  1.61125E+00	  4.32164E+00	   --21.46165%
  -6	  -4	  1.66667E-01	  5.00000E-01	  5.27046E-01	  1.66667E+00	  5.00000E+00	  1.48051E+00	  5.81593E+00	   --13.94504%
  -6	  -3	  1.66667E-01	  6.66667E-01	  6.87184E-01	  1.66667E+00	  6.66667E+00	  1.34978E+00	  7.31023E+00	   --9.64981%
  -6	  -2	  1.66667E-01	  8.33333E-01	  8.49837E-01	  1.66667E+00	  8.33333E+00	  1.21904E+00	  8.80452E+00	   --7.31178%
  -6	  -1	  1.66667E-01	  1.00000E+00	  1.01379E+00	  1.66667E+00	  1.00000E+01	  1.08831E+00	  1.02988E+01	   --6.28598%
  -6	   0	  1.66667E-01	 -1.00000E+00	  1.01379E+00	  1.66667E+00	 -1.00000E+01	  2.65711E+00	 -7.63269E+00	    31.75152%
  -6	   1	  1.66667E-01	 -8.33333E-01	  8.49837E-01	  1.66667E+00	 -8.33333E+00	  2.52638E+00	 -6.13840E+00	    35.51228%
  -6	   2	  1.66667E-01	 -6.66667E-01	  6.87184E-01	  1.66667E+00	 -6.66667E+00	  2.39565E+00	 -4.64411E+00	    41.14203%
  -6	   3	  1.66667E-01	 -5.00000E-01	  5.27046E-01	  1.66667E+00	 -5.00000E+00	  2.26491E+00	 -3.14982E+00	    50.12127%
  -6	   4	  1.66667E-01	 -3.33333E-01	  3.72678E-01	  1.66667E+00	 -3.33333E+00	  2.13418E+00	 -1.65553E+00	    64.48404%
  -6	   5	  1.66667E-01	 -1.66667E-01	  2.35702E-01	  1.66667E+00	 -1.66667E+00	  2.00345E+00	 -1.61234E-01	    76.75132%
  -6	   6	  1.66667E-01	  0.00000E+00	  1.66667E-01	  1.66667E+00	  0.00000E+00	  1.87271E+00	  1.33306E+00	   --58.68005%
  -5	  -6	  3.33333E-01	  1.66667E-01	  3.72678E-01	  3.33333E+00	  1.66667E+00	  3.73437E+00	  3.00166E+00	   --29.09361%
