Listing of Grid Distortion Data

File : affine_example.txt
Title: Affine Example
Date : 25/06/2021

Units are Millimeters.
Field units are degrees
Wavelength: 1.00000 um
Reference Coordinates: Xref = 0.0, Yref = 0.0


   i	   j	   X-Field  	   Y-Field  	   R-Field  	  Predicted X	  Predicted Y	   Real X	        Real Y	        Distortion
  -6	  -6	  1.66667E-01	  1.66667E-01	  2.35702E-01	  1.66667E+00	  1.66667E+00	  1.63609E+00	  3.99846E+00	   --58.73187%
  -6	  -5	  1.66667E-01	  3.33333E-01	  3.72678E-01	  1.66667E+00	  3.33333E+00	  1.52362E+00	  5.53896E+00	   --42.22947%
  -6	  -4	  1.66667E-01	  5.00000E-01	  5.27046E-01	  1.66667E+00	  5.00000E+00	  1.42010E+00	  7.14717E+00	   --32.68080%
  -6	  -3	  1.66667E-01	  6.66667E-01	  6.87184E-01	  1.66667E+00	  6.66667E+00	  1.32262E+00	  8.85629E+00	   --27.15534%
  -6	  -2	  1.66667E-01	  8.33333E-01	  8.49837E-01	  1.66667E+00	  8.33333E+00	  1.22828E+00	  1.06995E+01	   --24.19695%
  -6	  -1	  1.66667E-01	  1.00000E+00	  1.01379E+00	  1.66667E+00	  1.00000E+01	  1.13417E+00	  1.27101E+01	   --23.01903%
  -6	   0	  1.66667E-01	 -1.00000E+00	  1.01379E+00	  1.66667E+00	 -1.00000E+01	  2.91796E+00	 -7.67870E+00	    34.33362%
  -6	   1	  1.66667E-01	 -8.33333E-01	  8.49837E-01	  1.66667E+00	 -8.33333E+00	  2.66151E+00	 -5.68234E+00	    47.85690%
  -6	   2	  1.66667E-01	 -6.66667E-01	  6.87184E-01	  1.66667E+00	 -6.66667E+00	  2.43434E+00	 -3.85073E+00	    67.72351%
  -6	   3	  1.66667E-01	 -5.00000E-01	  5.27046E-01	  1.66667E+00	 -5.00000E+00	  2.23355E+00	 -2.15065E+00	    99.09152%
  -6	   4	  1.66667E-01	 -3.33333E-01	  3.72678E-01	  1.66667E+00	 -3.33333E+00	  2.05624E+00	 -5.48896E-01	    140.21435%
  -6	   5	  1.66667E-01	 -1.66667E-01	  2.35702E-01	  1.66667E+00	 -1.66667E+00	  1.89950E+00	  9.87734E-01	   --132.93386%
  -6	   6	  1.66667E-01	  0.00000E+00	  1.66667E-01	  1.66667E+00	  0.00000E+00	  1.76042E+00	  2.49245E+00	   --88.06327%
  -5	  -6	  3.33333E-01	  1.66667E-01	  3.72678E-01	  3.33333E+00	  1.66667E+00	  3.68606E+00	  4.19454E+00	   --49.09134%
  -5	  -5	  3.33333E-01	  3.33333E-01	  4.71405E-01	  3.33333E+00	  3.33333E+00	  3.59428E+00	  5.75358E+00	   --38.79236%
  -5	  -4	  3.33333E-01	  5.00000E-01	  6.00925E-01	  3.33333E+00	  5.00000E+00	  3.52620E+00	  7.38162E+00	   --31.66308%
  -5	  -3	  3.33333E-01	  6.66667E-01	  7.45356E-01	  3.33333E+00	  6.66667E+00	  3.47892E+00	  9.11186E+00	   --27.12677%
  -5	  -2	  3.33333E-01	  8.33333E-01	  8.97527E-01	  3.33333E+00	  8.33333E+00	  3.44954E+00	  1.09775E+01	   --24.58856%
  -5	  -1	  3.33333E-01	  1.00000E+00	  1.05409E+00	  3.33333E+00	  1.00000E+01	  3.43515E+00	  1.30118E+01	   --23.59327%
  -5	   0	  3.33333E-01	 -1.00000E+00	  1.05409E+00	  3.33333E+00	 -1.00000E+01	  5.23637E+00	 -7.57625E+00	    35.17772%
  -5	   1	  3.33333E-01	 -8.33333E-01	  8.97527E-01	  3.33333E+00	 -8.33333E+00	  4.89730E+00	 -5.57039E+00	    44.87815%
  -5	   2	  3.33333E-01	 -6.66667E-01	  7.45356E-01	  3.33333E+00	 -6.66667E+00	  4.60226E+00	 -3.72798E+00	    56.62112%
